Site Name,Longitude,Latitude,Installed Capacity (MWelec),Development Status (short),Country
Norwich Substation Storage Facility,1.2757128563392652,52.5735042154391,49.9,Awaiting Construction,England
North West Of Jameston Farm,-4.671188403307022,55.69045163463102,19.9,Awaiting Construction,Scotland
Troston Loch Wind Farm,-4.067511457054663,55.187691683743495,20.0,Awaiting Construction,Scotland
Douglas West Wind Farm (extension),-3.890093026931489,55.58735737627404,20.0,Application Submitted,Scotland
Hagshaw Hill,-3.870976688803297,55.55942280697608,20.0,Awaiting Construction,Scotland
Drumcross Battery Storage,-3.5159585132691755,55.888323359532514,30.0,Awaiting Construction,Scotland
Three Bridges Solar Farm,1.048939145353498,52.71483954529429,15.0,Awaiting Construction,England
"Whitelees Hydrogen Production Facility, Solar Farm & Battery Storage",-4.343148736469889,55.71223530945242,50.0,Awaiting Construction,Scotland
Dalmarnock Road - Battery Storage,-4.208530278131818,55.8362318055066,40.0,Awaiting Construction,Scotland
Drumshoreland Road Battery Storage Facility,-3.4812544261929736,55.89275339086875,49.9,Awaiting Construction,Scotland
Dersalloch Battery Storage Facility,-4.477580737702104,55.321682113302536,50.0,Awaiting Construction,Scotland
Kilgallioch - Battery energy storage,-4.855551585716078,55.23492851139812,100.0,Awaiting Construction,Scotland
Greybarn Solar Energy Farm ,1.0318088290839331,52.07257194672713,55.0,Application Submitted,England
Daer Wind Farm,-3.578109168208836,55.33783755480115,100.0,Application Submitted,Scotland
"Burnbank Street, Greenhill - Battery Storage Facility",-4.015294821862544,55.86921657052263,30.0,Awaiting Construction,Scotland
Carlisle Road - Battery Energy Storage System,-3.889459610600632,55.59266940910967,200.0,Awaiting Construction,Scotland
Hornsea Project Three - Battery Storage,1.2472773868974247,52.57544822614334,300.0,Awaiting Construction,England
Douglas West Wind Farm (extension),-3.890093026931489,55.58735737627404,20.0,Awaiting Construction,Scotland
"Ardleigh Road, Little Bromley - Battery Energy Storage",1.016592963366377,51.91669436990762,50.0,Awaiting Construction,England
Stoke Lane - Battery Energy Storage,1.278177065423494,52.56597115369532,130.0,Awaiting Construction,England
Hunterston Grid Services Complex - Energy Storage Facility,-4.878172012361256,55.71839206378954,400.0,Awaiting Construction,Scotland
Benthead Farm - Solar Farm & Battery Storage,-4.648435120250245,55.68295412668739,31.1,Awaiting Construction,Scotland
Hopsrig Wind Farm,-3.12687034413685,55.18585123405765,14.1,Application Submitted,Scotland
Grayside Wind Farm,-3.5892920264932124,55.53809470692133,20.0,Application Submitted,Scotland
Duddingston Solar Farm and Battery Storage,-3.443199958266422,55.98581330162847,20.0,Awaiting Construction,Scotland
Teviot Wind Farm,-2.9392294364909266,55.34296222042239,100.0,Application Submitted,Scotland
Well Street - Battery Storage,-4.435745275565959,55.84643782898593,49.5,Awaiting Construction,Scotland
Holmquarry Road - Battery Storage,-4.501550410652461,55.59833136828345,60.4,Awaiting Construction,Scotland
"Cornhills Farm, Muttonhole Road - Battery Storage ",-4.075609415108808,55.74234087406674,49.9,Awaiting Construction,Scotland
"Knockkippen Wind, Solar & Battery Farm",-4.467284276762829,55.348010983261936,16.0,Awaiting Construction,Scotland
 Lees Hill Energy Park,-2.4651374658225333,55.79761345770921,60.0,Application Submitted,Scotland
Sclenteuch Wind Farm ,-4.513034976352743,55.33566276963936,45.0,Awaiting Construction,Scotland
"Saturland Farm, Salterland Road - Battery Energy Storage System",-4.369289512796013,55.80812722591371,60.8,Awaiting Construction,Scotland
Laigh Park Water Treatment Works - Battery Energy Storage System,-4.421133841193044,55.85757439009912,49.5,Application Submitted,Scotland
Sandy Knowe Wind Farm Extension,-3.947709757110101,55.37276716967201,28.4,Awaiting Construction,Scotland
